Write successWrite successLeft Mouse Down; Time: 147678.887; Location(873.9, 369.6), Pressure: 1.000
Mouse Moved; Time: 147679.985; Location(35.2, 204.2), Pressure: 0.000
Mouse Moved; Time: 147679.993; Location(34.9, 204.2), Pressure: 0.000
Mouse Moved; Time: 147680.009; Location(34.3, 203.3), Pressure: 0.000
Mouse Moved; Time: 147680.018; Location(33.6, 201.9), Pressure: 0.000
Mouse Moved; Time: 147680.026; Location(32.7, 199.7), Pressure: 0.000
Mouse Moved; Time: 147680.034; Location(31.2, 196.2), Pressure: 0.000
Mouse Moved; Time: 147680.042; Location(30.2, 192.6), Pressure: 0.000
Mouse Moved; Time: 147680.050; Location(28.4, 187.3), Pressure: 0.000
Mouse Moved; Time: 147680.059; Location(27.2, 181.3), Pressure: 0.000
Mouse Moved; Time: 147680.067; Location(25.3, 175.0), Pressure: 0.000
Mouse Moved; Time: 147680.075; Location(24.0, 167.6), Pressure: 0.000
Mouse Moved; Time: 147680.083; Location(23.3, 160.2), Pressure: 0.000
Mouse Moved; Time: 147680.092; Location(22.7, 154.4), Pressure: 0.000
Mouse Moved; Time: 147680.100; Location(22.2, 151.6), Pressure: 0.000
Mouse Moved; Time: 147680.108; Location(22.2, 147.2), Pressure: 0.000
Mouse Moved; Time: 147680.116; Location(22.2, 143.6), Pressure: 0.000
Mouse Moved; Time: 147680.125; Location(22.2, 141.6), Pressure: 0.000
Mouse Moved; Time: 147680.133; Location(22.2, 140.0), Pressure: 0.000
Mouse Moved; Time: 147680.141; Location(22.2, 138.5), Pressure: 0.000
Mouse Moved; Time: 147680.149; Location(22.2, 137.9), Pressure: 0.000
Mouse Moved; Time: 147680.157; Location(22.2, 137.6), Pressure: 0.000
Mouse Moved; Time: 147680.166; Location(22.2, 137.3), Pressure: 0.000
Mouse Moved; Time: 147680.174; Location(22.2, 137.1), Pressure: 0.000
Left Mouse Down; Time: 147680.307; Location(22.2, 137.1), Pressure: 1.000
Left Mouse Up; Time: 147680.397; Location(22.2, 137.1), Pressure: 0.000
Write successLeft Mouse Down; Time: 148311.078; Location(861.6, 441.6), Pressure: 1.000
Left Mouse Dragged; Time: 148311.078; Location(861.6, 441.6), Pressure: 1.000
Left Mouse Up; Time: 148311.406; Location(861.6, 441.6), Pressure: 0.000
Mouse Moved; Time: 148311.454; Location(860.9, 440.9), Pressure: 0.000
Mouse Moved; Time: 148311.462; Location(857.0, 438.2), Pressure: 0.000
Mouse Moved; Time: 148311.471; Location(853.6, 434.2), Pressure: 0.000
Mouse Moved; Time: 148311.479; Location(851.3, 432.3), Pressure: 0.000
Mouse Moved; Time: 148311.487; Location(848.4, 427.6), Pressure: 0.000
Mouse Moved; Time: 148311.693; Location(848.4, 426.9), Pressure: 0.000
Mouse Moved; Time: 148311.701; Location(847.8, 423.4), Pressure: 0.000
Mouse Moved; Time: 148311.710; Location(845.9, 420.5), Pressure: 0.000
Mouse Moved; Time: 148311.718; Location(843.7, 416.6), Pressure: 0.000
Mouse Moved; Time: 148311.726; Location(840.8, 411.9), Pressure: 0.000
Mouse Moved; Time: 148311.734; Location(834.7, 403.6), Pressure: 0.000
Mouse Moved; Time: 148311.742; Location(829.0, 396.5), Pressure: 0.000
Mouse Moved; Time: 148311.751; Location(823.3, 388.7), Pressure: 0.000
Mouse Moved; Time: 148311.759; Location(815.0, 378.6), Pressure: 0.000
Mouse Moved; Time: 148311.767; Location(804.9, 366.7), Pressure: 0.000
Mouse Moved; Time: 148311.775; Location(794.4, 356.3), Pressure: 0.000
Mouse Moved; Time: 148311.784; Location(783.1, 346.7), Pressure: 0.000
Mouse Moved; Time: 148311.792; Location(778.1, 343.0), Pressure: 0.000
Mouse Moved; Time: 148311.800; Location(768.1, 334.6), Pressure: 0.000
Mouse Moved; Time: 148311.808; Location(759.8, 328.6), Pressure: 0.000
Mouse Moved; Time: 148311.816; Location(757.0, 327.2), Pressure: 0.000
Mouse Moved; Time: 148311.825; Location(751.6, 323.6), Pressure: 0.000
Mouse Moved; Time: 148311.833; Location(748.6, 321.6), Pressure: 0.000
Mouse Moved; Time: 148311.841; Location(745.5, 319.6), Pressure: 0.000
Mouse Moved; Time: 148311.849; Location(744.0, 318.8), Pressure: 0.000
Left Mouse Down; Time: 148311.860; Location(743.4, 318.5), Pressure: 1.000
Left Mouse Down; Time: 148311.860; Location(743.4, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148311.860; Location(743.4, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148311.973; Location(742.7, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148311.981; Location(740.6, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148311.989; Location(738.4, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148311.998; Location(735.0, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.006; Location(731.4, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.014; Location(727.9, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.022; Location(724.3, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.030; Location(720.8, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.039; Location(717.3, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.047; Location(712.9, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.055; Location(710.1, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.063; Location(707.3, 318.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.072; Location(703.9, 319.0), Pressure: 1.000
Left Mouse Dragged; Time: 148312.080; Location(701.6, 320.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.088; Location(695.9, 327.3), Pressure: 1.000
Left Mouse Dragged; Time: 148312.096; Location(693.5, 332.6), Pressure: 1.000
Left Mouse Dragged; Time: 148312.104; Location(691.5, 339.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.113; Location(691.5, 343.4), Pressure: 1.000
Left Mouse Dragged; Time: 148312.121; Location(690.8, 353.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.129; Location(690.8, 362.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.137; Location(690.8, 371.5), Pressure: 1.000
Left Mouse Dragged; Time: 148312.146; Location(690.8, 380.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.154; Location(691.9, 386.0), Pressure: 1.000
Left Mouse Dragged; Time: 148312.162; Location(695.3, 392.7), Pressure: 1.000
Left Mouse Dragged; Time: 148312.170; Location(698.8, 396.8), Pressure: 1.000
Left Mouse Dragged; Time: 148312.179; Location(702.7, 400.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.187; Location(706.5, 402.9), Pressure: 1.000
Left Mouse Dragged; Time: 148312.195; Location(710.1, 404.4), Pressure: 1.000
Left Mouse Dragged; Time: 148312.203; Location(714.5, 406.0), Pressure: 1.000
Left Mouse Dragged; Time: 148312.212; Location(718.7, 407.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.220; Location(724.0, 407.1), Pressure: 1.000
Left Mouse Dragged; Time: 148312.228; Location(728.3, 407.1), Pressure: 1.000
